RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
394714,40,"Jacksonville, FL",Msa,FL,298000.0,299900.0,305000.0,309900.0,315000.0,319000.0,315000.0,314900.0,309000.0,299990.0,299000.0,295000.0,294500.0,298500.0,295000.0,299000.0,305000.0,310000.0,320000.0,311900.0,300000.0,299900.0,298990.0,299000.0,298990.0,296306.0,299900.0,308900.0,310000.0,301990.0,314900.0,318089.0,319000.0,319000.0,315000.0,310000.0,301990.0,308990.0,310000.0,315990.0,326990.0,339900.0,350000.0,350000.0,350000.0
394849,41,"Memphis, TN",Msa,TN,195527.0,185603.0,181213.0,181213.0,181309.0,190279.0,190756.0,204115.0,205165.0,207551.0,208982.0,209841.0,208028.0,200394.0,200394.0,201348.0,208887.0,214708.0,224250.0,224250.0,224250.0,224155.0,223296.0,224155.0,224250.0,224250.0,219479.0,224155.0,233793.0,233793.0,241730.0,250015.0,252878.0,252783.0,238564.0,243335.0,248011.0,238469.0,239900.0,238425.0,240000.0,248800.0,259000.0,250000.0,255000.0
394935,42,"Oklahoma City, OK",Msa,OK,235897.0,235902.0,236829.0,241980.0,250314.0,252384.0,255475.0,252792.0,252384.0,247233.0,247233.0,247223.0,247234.0,247131.0,254316.0,261656.0,272884.0,280095.0,281218.0,277108.0,272987.0,267708.0,267733.0,267836.0,267836.0,267733.0,272987.0,279683.0,283752.0,283288.0,293590.0,304921.0,300636.0,297710.0,293590.0,293538.0,292457.0,288336.0,289900.0,300000.0,312000.0,325000.0,316825.0,305000.0,299900.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,230000.0,229000.0,237000.0,254900.0,269900.0,274900.0,279000.0,275900.0,269500.0,269000.0,265000.0,263100.0,257000.0,250000.0,254900.0,266900.0,278500.0,289500.0,293900.0,289900.0,285000.0,279000.0,269900.0,259900.0,250000.0,246000.0,249500.0,263900.0,280000.0,289900.0,299900.0,299900.0,299000.0,290000.0,274900.0,268990.0,254900.0,254900.0,259000.0,269990.0,279900.0,284990.0,290990.0,289900.0,279900.0
394669,44,"Hartford, CT",Msa,CT,265900.0,265000.0,272500.0,279000.0,289900.0,289900.0,289900.0,289999.0,289900.0,289000.0,284900.0,284900.0,279900.0,279900.0,279900.0,285000.0,290000.0,299900.0,299900.0,307900.0,299900.0,299000.0,297000.0,292750.0,289900.0,289000.0,288000.0,290000.0,306050.0,309900.0,320000.0,329900.0,339900.0,339900.0,329900.0,329900.0,325000.0,321000.0,330000.0,339900.0,349900.0,357900.0,349900.0,339000.0,330000.0
395022,45,"Richmond, VA",Msa,VA,304060.0,295727.0,293842.0,306225.0,318598.0,328909.0,329888.0,328806.0,329837.0,323227.0,314474.0,309318.0,309267.0,309215.0,309215.0,314474.0,335095.0,345354.0,350458.0,349530.0,347468.0,337054.0,330197.0,324784.0,324681.0,329837.0,333033.0,340147.0,350509.0,359840.0,369120.0,380487.0,381441.0,381441.0,377523.0,379950.0,380175.0,385000.0,389628.0,394000.0,395900.0,388990.0,382635.0,370000.0,362933.0
394910,46,"New Orleans, LA",Msa,LA,250000.0,247900.0,240000.0,240915.0,249900.0,259000.0,262500.0,265000.0,263500.0,259900.0,258000.0,254900.0,250000.0,250000.0,250000.0,256000.0,264000.0,269900.0,274900.0,273000.0,269900.0,269000.0,269000.0,268000.0,266900.0,264000.0,260000.0,264000.0,269900.0,275000.0,284000.0,289000.0,292900.0,299900.0,299000.0,299500.0,299000.0,299105.0,295000.0,298090.0,305000.0,320000.0,327150.0,329000.0,325000.0
394425,47,"Buffalo, NY",Msa,NY,177185.0,172119.0,172119.0,182250.0,192381.0,197547.0,202612.0,202511.0,202511.0,200080.0,197547.0,192381.0,187315.0,182250.0,182250.0,190451.0,192482.0,202511.0,209603.0,210616.0,212742.0,202511.0,201600.0,200587.0,191469.0,192381.0,191469.0,192381.0,202511.0,207678.0,222773.0,232903.0,231992.0,222773.0,222773.0,224473.0,213885.0,213885.0,215000.0,239000.0,249900.0,259900.0,259900.0,249900.0,239900.0
395012,48,"Raleigh, NC",Msa,NC,359900.0,358900.0,355000.0,365000.0,379900.0,385000.0,384900.0,379900.0,379000.0,374700.0,369000.0,359000.0,357550.0,355000.0,353000.0,360000.0,375000.0,385000.0,389900.0,385000.0,375900.0,374900.0,374900.0,369900.0,361900.0,359900.0,359900.0,369900.0,379000.0,372000.0,387000.0,395000.0,399900.0,402000.0,405900.0,398500.0,392990.0,398000.0,398000.0,404900.0,415000.0,422250.0,425000.0,425000.0,425000.0
394388,49,"Birmingham, AL",Msa,AL,209900.0,205900.0,204250.0,211500.0,229900.0,238353.0,239900.0,239900.0,239900.0,239900.0,235000.0,229000.0,229000.0,229900.0,229900.0,239900.0,249900.0,259900.0,265900.0,269900.0,275000.0,270000.0,272000.0,274100.0,269900.0,264995.0,264900.0,267875.0,269900.0,269900.0,279900.0,284500.0,281500.0,279120.0,270000.0,274190.0,274900.0,278900.0,278900.0,281300.0,282295.0,294500.0,295000.0,289900.0,282900.0
